State/UT,Facility Type,Total No. of Facilities #,No. of facilities reporting nil performance *,Performance - Overall Average **,Performance - Maximum,Performance - Minimum,No. of facilities by performance - 1 to 100,No. of facilities by performance - 101 to 500,No. of facilities by performance - 501 to 1000,No. of facilities by performance - >1000
Nagaland Total distt - 11 Districts reporting facility wise - 11,CHC,21,2,58.8,185,20,17,2,0,0
Nagaland Total distt - 11 Districts reporting facility wise - 11,PHC,137,129,40.4,69,25,8,0,0,0
Odisha Total distt - 30 Districts reporting facility wise - 30,DH,32,30,986.5,1505,468,0,1,0,1
Odisha Total distt - 30 Districts reporting facility wise - 30,SDH,33,30,610.7,786,396,0,1,2,0
Odisha Total distt - 30 Districts reporting facility wise - 30,CHC,384,120,485.3,2836,73,5,163,80,16
Odisha Total distt - 30 Districts reporting facility wise - 30,PHC,1375,460,400.8,1764,20,19,663,215,18
Puducherry Total distt - 4 Districts reporting facility wise - 4,DH,4,1,3318.7,5919,1478,0,0,0,3
Puducherry Total distt - 4 Districts reporting facility wise - 4,CHC,4,1,1389.3,1898,829,0,0,1,2
Puducherry Total distt - 4 Districts reporting facility wise - 4,PHC,40,3,1265.4,3585,480,0,2,13,22
Puducherry Total distt - 4 Districts reporting facility wise - 4,SC,80,78,130.5,210,51,1,1,0,0
Punjab Total distt - 22 Districts reporting facility wise - 22,DH,26,3,1362.9,4994,233,0,4,5,14
Punjab Total distt - 22 Districts reporting facility wise - 22,SDH,45,20,676.3,1731,33,3,9,5,8
Punjab Total distt - 22 Districts reporting facility wise - 22,CHC,147,68,799.6,2838,52,4,28,21,26
Punjab Total distt - 22 Districts reporting facility wise - 22,PHC,522,367,402.2,1958,5,13,105,32,5
Punjab Total distt - 22 Districts reporting facility wise - 22,SC,3120,3117,271,727,4,2,0,1,0
Rajasthan Total distt - 33 Districts reporting facility wise - 33,DH,27,2,2157.9,16133,118,0,9,5,11
Rajasthan Total distt - 33 Districts reporting facility wise - 33,SDH,73,56,2562,22108,26,3,8,3,3
Rajasthan Total distt - 33 Districts reporting facility wise - 33,CHC,596,408,495.2,6598,6,16,129,27,16
Rajasthan Total distt - 33 Districts reporting facility wise - 33,PHC,2460,1848,252.4,6913,2,99,463,38,12
Rajasthan Total distt - 33 Districts reporting facility wise - 33,SC,13555,13239,51.3,510,1,287,28,1,0
Sikkim Total distt - 4 Districts reporting facility wise - 4,DH,4,2,64,66,62,2,0,0,0
Sikkim Total distt - 4 Districts reporting facility wise - 4,CHC,2,1,108,108,108,0,1,0,0
Sikkim Total distt - 4 Districts reporting facility wise - 4,PHC,25,21,43.5,51,33,4,0,0,0
Tamil Nadu Total distt - 32 Districts reporting facility wise - 32,DH,32,1,6950.5,12207,2154,0,0,0,31
Tamil Nadu Total distt - 32 Districts reporting facility wise - 32,SDH,280,26,2919.6,37473,316,0,2,3,249
Tamil Nadu Total distt - 32 Districts reporting facility wise - 32,CHC,398,60,2142.8,5052,22,2,2,15,319
Tamil Nadu Total distt - 32 Districts reporting facility wise - 32,PHC,1880,1463,1867.7,5548,1,11,14,27,365
Telangana Total distt - 32 Districts reporting facility wise - 31,DH,6,0,2021.7,3647,615,0,0,1,5
Telangana Total distt - 32 Districts reporting facility wise - 31,SDH,47,31,589.4,1404,131,0,7,8,1
Telangana Total distt - 32 Districts reporting facility wise - 31,CHC,82,58,626.5,2285,115,0,12,7,5
Telangana Total distt - 32 Districts reporting facility wise - 31,PHC,801,607,457.2,2217,7,21,109,54,10
Telangana Total distt - 32 Districts reporting facility wise - 31,SC,4700,4658,91,327,1,21,21,0,0
Tripura Total distt - 8 Districts reporting facility wise - 8,DH,7,3,171.5,426,57,2,2,0,0
Tripura Total distt - 8 Districts reporting facility wise - 8,SDH,12,1,369.5,1154,6,3,6,1,1
Tripura Total distt - 8 Districts reporting facility wise - 8,CHC,22,8,121.1,452,12,10,4,0,0
Tripura Total distt - 8 Districts reporting facility wise - 8,PHC,113,54,155.5,532,6,30,27,2,0
Tripura Total distt - 8 Districts reporting facility wise - 8,SC,1004,968,107.7,579,1,27,6,3,0
Uttar Pradesh Total distt - 75 Districts reporting facility wise - 75,DH,160,66,3009.2,15330,256,0,6,9,79
Uttar Pradesh Total distt - 75 Districts reporting facility wise - 75,CHC,680,246,1374.2,55200,51,7,75,140,212
Uttar Pradesh Total distt - 75 Districts reporting facility wise - 75,PHC,3407,2633,725.9,7646,1,25,305,276,168
Uttar Pradesh Total distt - 75 Districts reporting facility wise - 75,SC,20763,20677,60.5,1287,1,81,2,0,3
Uttarakhand Total distt - 13 Districts reporting facility wise - 13,DH,18,2,744.2,2806,43,1,7,5,3
Uttarakhand Total distt - 13 Districts reporting facility wise - 13,SDH,18,12,1028,3218,162,0,2,2,2
Uttarakhand Total distt - 13 Districts reporting facility wise - 13,CHC,69,28,425.1,1566,38,6,21,10,4
Uttarakhand Total distt - 13 Districts reporting facility wise - 13,PHC,262,169,297,1355,16,16,61,14,2
Uttarakhand Total distt - 13 Districts reporting facility wise - 13,SC,1830,1817,68.2,182,1,10,3,0,0
West Bengal Total distt - 23 Districts reporting facility wise - 23,DH,44,23,945.7,2892,29,2,8,4,7
West Bengal Total distt - 23 Districts reporting facility wise - 23,SDH,70,37,822.5,3577,17,1,14,8,10
West Bengal Total distt - 23 Districts reporting facility wise - 23,CHC,403,280,794.5,4476,11,7,41,46,29
West Bengal Total distt - 23 Districts reporting facility wise - 23,PHC,1378,1278,672.4,2581,17,6,39,32,23
West Bengal Total distt - 23 Districts reporting facility wise - 23,SC,10386,10356,199,1235,2,13,15,0,2
